"TRG_CDE_CODE","TRG_DSC_CODE","TRG_IND_ACTIVE","TRG_IND_MAY_DEACT","TRG_TSP_REC_CREATE","TRG_TSP_REC_UPDATE","TRG_UID_REC_CREATE","TRG_UID_REC_UPDATE"
"ZONE2","UK / Europe","Y","Y","1997-03-22 03:30:25","2019-04-03 23:24:09","LS2BATCH","LS2BATCH"
"ZONE3","Australia","Y","Y","1997-03-22 03:30:26","2019-04-03 23:24:10","LS2BATCH","LS2BATCH"
"ZONE1","North American","Y","Y","1997-03-22 03:30:25","2019-04-03 23:24:09","LS2BATCH","LS2BATCH"
"ZONE4","Asia","Y","Y","2019-04-05 12:19:02","2019-04-05 12:19:02","KANDERSO","KANDERSO"
