"ACCOUNTID"|"NOMINALCODE"|"NOMINALDESCRIPTION"|"TRANSACTIONSRID"|"TRANSACTIONID"|"HOSTTRANCODE"|"SOURCETRANCODE"|"TRANSACTIONDATE"|"POSTINGDATE"|"VALUEDATE"|"ISOCURRENCYCODE"|"DEBITCREDITFLAG"|"AMOUNT"|"AMOUNTCREDIT"|"AMOUNTDEBIT"|"HOSTBRANCH"|"UBCHANNELID"|"SUBPRODUCTCODE"|"CUSTOMERCODE"|"SOURCEREF1"|"SOURCEREF2"|"NARRATION"|"SOURCEBRANCH"|"SOURCECOSTCENTERCODE"|"AFFILIATECODE"|"SOURCEDEALNO"|"SOURCECUSTOMERCODE"
"019901000000100"|"OFBSUNCOCLR"|"Unused Commitment"|"01172121000cf06F"|"01172120ffc4205V"|"CRV"|"UNCOM"|"2020-05-14 07:22:28"|"2020-05-11 17:20:25"|"2020-04-21 00:00:00"|"AUD"|"C"|"998000"|"998000"|"0"|"00000001"|"LIQ"|"99010InternalAUD"|"000001"|"*TE8QM64"|"R+E501K5"|"Daily Posting of Unutilized Commitment"|"CB001"|"BP_COL"|""|"FAC;?E500QP"|"4"
"019901000000100"|"OFBSUNCOCLR"|"Unused Commitment"|"01172121000d006H"|"01172120ffc4205V"|"DRV"|"UNCOM"|"2020-05-14 07:22:28"|"2020-05-11 17:20:26"|"2020-04-21 00:00:00"|"AUD"|"D"|"-998000"|"0"|"998000"|"00000001"|"LIQ"|"99010InternalAUD"|"000001"|"*TE8QM65"|"R+E501K5"|"Daily Posting of Unutilized Commitment"|"CB001"|"BP_COL"|""|"FAC;?E500QP"|"4"
"019901000000100"|"OFBSUNCOCLR"|"Unused Commitment"|"011721210328607q"|"011721210322a07N"|"CRV"|"UNCOM"|"2020-05-14 07:22:31"|"2020-05-11 17:20:28"|"2020-04-21 00:00:00"|"AUD"|"C"|"4500000"|"4500000"|"0"|"00000001"|"LIQ"|"99010InternalAUD"|"000001"|"*TE8QMDY"|"3ME4FAPF"|"Daily Posting of Unutilized Commitment"|"CB001"|"GTM191"|"OTHER"|"FACY=E4F1PC"|"4"
"019901000000100"|"OFBSUNCOCLR"|"Unused Commitment"|"011721210328707s"|"011721210322a07N"|"DRV"|"UNCOM"|"2020-05-14 07:22:31"|"2020-05-11 17:20:28"|"2020-04-21 00:00:00"|"AUD"|"D"|"-4500000"|"0"|"4500000"|"00000001"|"LIQ"|"99010InternalAUD"|"000001"|"*TE8QMDZ"|"3ME4FAPF"|"Daily Posting of Unutilized Commitment"|"CB001"|"GTM191"|"OTHER"|"FACY=E4F1PC"|"4"
"019903000000100"|"OFBSUNCOOFF"|"Unused Commitment Offset"|"01172120fffda06B"|"01172120ffc4205V"|"DRV"|"UNCOM"|"2020-05-14 07:22:20"|"2020-05-11 17:20:18"|"2020-04-21 00:00:00"|"AUD"|"D"|"-998000"|"0"|"998000"|"00000001"|"LIQ"|"99030InternalAUD"|"000001"|"*TE8QM63"|"R+E501K5"|"Daily Posting of Unutilized Commitment"|"CB001"|"BP_COL"|""|"FAC;?E500QP"|"4"
"019903000000100"|"OFBSUNCOOFF"|"Unused Commitment Offset"|"01172121000d206J"|"01172120ffc4205V"|"CRV"|"UNCOM"|"2020-05-14 07:22:27"|"2020-05-11 17:20:24"|"2020-04-21 00:00:00"|"AUD"|"C"|"998000"|"998000"|"0"|"00000001"|"LIQ"|"99030InternalAUD"|"000001"|"*TE8QM66"|"R+E501K5"|"Daily Posting of Unutilized Commitment"|"CB001"|"BP_COL"|""|"FAC;?E500QP"|"4"
"019903000000100"|"OFBSUNCOOFF"|"Unused Commitment Offset"|"011721210328407o"|"011721210322a07N"|"DRV"|"UNCOM"|"2020-05-14 07:22:31"|"2020-05-11 17:20:28"|"2020-04-21 00:00:00"|"AUD"|"D"|"-4500000"|"0"|"4500000"|"00000001"|"LIQ"|"99030InternalAUD"|"000001"|"*TE8QMDX"|"3ME4FAPF"|"Daily Posting of Unutilized Commitment"|"CB001"|"GTM191"|"OTHER"|"FACY=E4F1PC"|"4"
"019903000000100"|"OFBSUNCOOFF"|"Unused Commitment Offset"|"011721210328807u"|"011721210322a07N"|"CRV"|"UNCOM"|"2020-05-14 07:22:31"|"2020-05-11 17:20:28"|"2020-04-21 00:00:00"|"AUD"|"C"|"4500000"|"4500000"|"0"|"00000001"|"LIQ"|"99030InternalAUD"|"000001"|"*TE8QME0"|"3ME4FAPF"|"Daily Posting of Unutilized Commitment"|"CB001"|"GTM191"|"OTHER"|"FACY=E4F1PC"|"4"
